TIME,TIME_UNIT,VARIABLE,VALUE,UNITS,REGION,SHAPEFILE,SENSOR,ALGORITHM,SOURCE,NOTES,FILENAME
2010,YYYY,ANNUAL_NANO_PERCENTAGE_MEDIAN,78.52429,percent(%),MAB,EPU_NOESTUARIES,OC-CCI,PAN_ET_AL_2010; PAN_ET_AL_2011,KHyde (NEFSC); http://www.esa-oceancolour-cci.org/,MEDIAN OF THE SPATIAL DATA,A_2010-OCCCI-V3_1-L3B4-NANO_PERCENTAGE-PAN-STATS
2011,YYYY,ANNUAL_NANO_PERCENTAGE_MEDIAN,81.79523,percent(%),GB,EPU_NOESTUARIES,OC-CCI,PAN_ET_AL_2010; PAN_ET_AL_2011,KHyde (NEFSC); http://www.esa-oceancolour-cci.org/,MEDIAN OF THE SPATIAL DATA,A_2011-OCCCI-V3_1-L3B4-NANO_PERCENTAGE-PAN-STATS
2011,YYYY,ANNUAL_NANO_PERCENTAGE_MEDIAN,80.74696,percent(%),SS,EPU_NOESTUARIES,OC-CCI,PAN_ET_AL_2010; PAN_ET_AL_2011,KHyde (NEFSC); http://www.esa-oceancolour-cci.org/,MEDIAN OF THE SPATIAL DATA,A_2011-OCCCI-V3_1-L3B4-NANO_PERCENTAGE-PAN-STATS
2011,YYYY,ANNUAL_NANO_PERCENTAGE_MEDIAN,81.78979,percent(%),GOM,EPU_NOESTUARIES,OC-CCI,PAN_ET_AL_2010; PAN_ET_AL_2011,KHyde (NEFSC); http://www.esa-oceancolour-cci.org/,MEDIAN OF THE SPATIAL DATA,A_2011-OCCCI-V3_1-L3B4-NANO_PERCENTAGE-PAN-STATS
2011,YYYY,ANNUAL_NANO_PERCENTAGE_MEDIAN,79.94836,percent(%),MAB,EPU_NOESTUARIES,OC-CCI,PAN_ET_AL_2010; PAN_ET_AL_2011,KHyde (NEFSC); http://www.esa-oceancolour-cci.org/,MEDIAN OF THE SPATIAL DATA,A_2011-OCCCI-V3_1-L3B4-NANO_PERCENTAGE-PAN-STATS
2012,YYYY,ANNUAL_NANO_PERCENTAGE_MEDIAN,82.24979,percent(%),GB,EPU_NOESTUARIES,OC-CCI,PAN_ET_AL_2010; PAN_ET_AL_2011,KHyde (NEFSC); http://www.esa-oceancolour-cci.org/,MEDIAN OF THE SPATIAL DATA,A_2012-OCCCI-V3_1-L3B4-NANO_PERCENTAGE-PAN-STATS
2012,YYYY,ANNUAL_NANO_PERCENTAGE_MEDIAN,83.56219,percent(%),SS,EPU_NOESTUARIES,OC-CCI,PAN_ET_AL_2010; PAN_ET_AL_2011,KHyde (NEFSC); http://www.esa-oceancolour-cci.org/,MEDIAN OF THE SPATIAL DATA,A_2012-OCCCI-V3_1-L3B4-NANO_PERCENTAGE-PAN-STATS
2012,YYYY,ANNUAL_NANO_PERCENTAGE_MEDIAN,82.25323,percent(%),GOM,EPU_NOESTUARIES,OC-CCI,PAN_ET_AL_2010; PAN_ET_AL_2011,KHyde (NEFSC); http://www.esa-oceancolour-cci.org/,MEDIAN OF THE SPATIAL DATA,A_2012-OCCCI-V3_1-L3B4-NANO_PERCENTAGE-PAN-STATS
2012,YYYY,ANNUAL_NANO_PERCENTAGE_MEDIAN,78.31674,percent(%),MAB,EPU_NOESTUARIES,OC-CCI,PAN_ET_AL_2010; PAN_ET_AL_2011,KHyde (NEFSC); http://www.esa-oceancolour-cci.org/,MEDIAN OF THE SPATIAL DATA,A_2012-OCCCI-V3_1-L3B4-NANO_PERCENTAGE-PAN-STATS
2013,YYYY,ANNUAL_NANO_PERCENTAGE_MEDIAN,80.22683,percent(%),GB,EPU_NOESTUARIES,OC-CCI,PAN_ET_AL_2010; PAN_ET_AL_2011,KHyde (NEFSC); http://www.esa-oceancolour-cci.org/,MEDIAN OF THE SPATIAL DATA,A_2013-OCCCI-V3_1-L3B4-NANO_PERCENTAGE-PAN-STATS
