"SVSPP","COMNAME","ITISSPP","NESPP3","SCINAME","Fed.Managed","SOE.17","EMAX","RPATH","SOE.18","SizeCat","Min.size","Garrison.Link","NEIEA","SOE.20","SOE.24","FMP"
126,"ATLANTIC CUTLASSFISH",172385,99,"TRICHIURUS LEPTURUS",NA,"Other","Piscivore Others","Mesopelagics","Other",NA,NA,NA,"Other","Other","Piscivore",NA
127,"CONEJO",172374,NA,"PROMETHICHTHYS PROMETHEUS",NA,"Other",NA,"OtherPelagics","Other",NA,NA,NA,NA,"Other","Other",NA
128,"SKIPJACK TUNA",172401,466,"KATSUWONUS PELAMIS",NA,"Other",NA,"LargePelagics","Other",NA,NA,NA,NA,"Other","Other",NA
129,"BLUE RUNNER",168612,213,"CARANX CRYSOS",NA,"Other",NA,"OtherPelagics","Other",NA,NA,NA,NA,"Other","Piscivore",NA
130,"BIGSCALE POMFRET",170311,NA,"TARACTICHTHYS LONGIPINNIS ",NA,"Other",NA,"OtherPelagics","Other",NA,NA,NA,NA,"Other","Other",NA
131,"BUTTERFISH",172567,51,"PEPRILUS TRIACANTHUS","MAFMC","Mesoplanktivore",NA,"Butterfish","Planktivore","S",10,"Planktivores","Forage Fish","Planktivore","Planktivore","Mackerel Squid Butterfish"
132,"ATLANTIC MOONFISH",168684,NA,"SELENE SETAPINNIS",NA,"Other",NA,"SmPelagics","Other",NA,NA,NA,NA,"Other","Planktivore",NA
133,"LOOKDOWN",168680,NA,"SELENE VOMER",NA,"Other",NA,"Freshwater","Other",NA,NA,NA,NA,"Other","Planktivore",NA
134,"BIGEYE",168178,NA,"PRIACANTHUS ARENATUS",NA,"Other",NA,"Freshwater","Other",NA,NA,NA,NA,"Other","Benthivore",NA
135,"BLUEFISH",168559,23,"POMATOMUS SALTATRIX","MAFMC","Piscivore",NA,"Bluefish","Piscivore","S",10,"Piscivores","Medium pelagics","Piscivore","Piscivore","Bluefish"
135,"BLUEFISH",168559,23,"POMATOMUS SALTATRIX","MAFMC","Piscivore",NA,"Bluefish","Piscivore","M",31,"Piscivores","Medium pelagics","Piscivore","Piscivore","Bluefish"
135,"BLUEFISH",168559,23,"POMATOMUS SALTATRIX","MAFMC","Piscivore",NA,"Bluefish","Piscivore","L",71,"Piscivores","Medium pelagics","Piscivore","Piscivore","Bluefish"
136,"ATLANTIC CROAKER",169283,90,"MICROPOGONIAS UNDULATUS",NA,"Other","Benthivore Perciformes","AtlCroaker","Other","S",10,"Benthivores","Mid-Atlantic groundfish","Other","Benthivore",NA
136,"ATLANTIC CROAKER",169283,90,"MICROPOGONIAS UNDULATUS",NA,"Other","Benthivore Perciformes","AtlCroaker","Other","M",26,"Benthivores","Mid-Atlantic groundfish","Other","Benthivore",NA
137,"KEELCHEEK BASS",168337,NA,"SYNAGROPS SPINOSUS",NA,"Other","Benthivore Perciformes","Mesopelagics","Other",NA,NA,NA,NA,"Other","Other",NA
138,"CARDINALFISH UNCL",168196,NA,"APOGONIDAE",NA,"Other",NA,"OtherPelagics","Other",NA,NA,NA,NA,"Other","Other",NA
139,"STRIPED BASS",167680,418,"MORONE SAXATILIS",NA,"Piscivore",NA,"StripedBass","Piscivore",NA,NA,NA,"Medium pelagics","Piscivore","Piscivore",NA
140,"WHITE PERCH",167678,506,"MORONE AMERICANA",NA,"Other",NA,"SouthernDemersals","Other",NA,NA,NA,NA,"Other","Other",NA
141,"BLACK SEA BASS",167687,335,"CENTROPRISTIS STRIATA","MAFMC","Benthivore","Omnivore Others","BlackSeaBass","Benthivore","S",10,"Crab Eaters","Mid-Atlantic groundfish","Benthivore","Benthivore","Summer Flounder Scup Black Sea Bass"
141,"BLACK SEA BASS",167687,335,"CENTROPRISTIS STRIATA","MAFMC","Benthivore","Omnivore Others","BlackSeaBass","Benthivore","M",26,"Crab Eaters","Mid-Atlantic groundfish","Benthivore","Benthivore","Summer Flounder Scup Black Sea Bass"
142,"PIGFISH",169077,258,"ORTHOPRISTIS CHRYSOPTERA",NA,"Other","Benthivore Perciformes","SouthernDemersals","Other",NA,NA,NA,"Other","Other","Benthivore",NA
143,"SCUP",169182,329,"STENOTOMUS CHRYSOPS","MAFMC","Benthivore","Benthivore Perciformes","Scup","Benthivore","M",26,"Benthivores","Mid-Atlantic groundfish","Benthivore","Benthivore","Summer Flounder Scup Black Sea Bass"
144,NA,168297,NA,"EPIGONUS PANDIONIS",NA,"Other","Benthivore Perciformes","Mesopelagics","Other",NA,NA,NA,NA,"Other","Other",NA
145,"WEAKFISH",169241,344,"CYNOSCION REGALIS",NA,"Piscivore",NA,"Weakfish","Piscivore","S",10,"Piscivores",NA,"Piscivore","Piscivore",NA
145,"WEAKFISH",169241,344,"CYNOSCION REGALIS",NA,"Piscivore",NA,"Weakfish","Piscivore","M",26,"Piscivores",NA,"Piscivore","Piscivore",NA
146,"NORTHERN KINGFISH",169276,196,"MENTICIRRHUS SAXATILIS",NA,"Other","Benthivore Perciformes","SouthernDemersals","Other",NA,NA,NA,"Other","Other","Benthivore",NA
147,"BLACK DRUM",169288,106,"POGONIAS CROMIS",NA,"Other","Benthivore Perciformes","SouthernDemersals","Other",NA,NA,NA,"Mid-Atlantic groundfish","Other","Other",NA
148,"SILVER PERCH",169259,NA,"BAIRDIELLA CHRYSOURA",NA,"Other","Benthivore Perciformes","SouthernDemersals","Other",NA,NA,NA,NA,"Other","Benthivore",NA
149,"SPOT",169267,406,"LEIOSTOMUS XANTHURUS",NA,"Other","Benthivore Perciformes","SouthernDemersals","Other",NA,NA,NA,"Mid-Atlantic groundfish","Other","Benthivore",NA
150,"SHERBORN'S CARDINALFISH",168333,NA,"HOWELLA SHERBORNI ",NA,"Other","Benthivore Perciformes","Mesopelagics","Other",NA,NA,NA,NA,"Other","Other",NA
151,"TILEFISH",168546,446,"LOPHOLATILUS CHAMAELEONTICEPS","MAFMC","Benthivore","Benthivore Perciformes","Tilefish","Benthivore",NA,NA,NA,"Other","Benthivore","Benthivore","Tilefish"
154,"LONGSPINE SCORPIONFISH",166801,NA,"PONTINUS LONGISPINIS",NA,"Other","Benthivore Scorpaeniformes","OtherDemersals","Other",NA,NA,NA,NA,"Other","Other",NA
155,"ACADIAN REDFISH",166774,240,"SEBASTES FASCIATUS","NEFMC","Macrozoo-piscivore","Benthivore Scorpaeniformes","Redfish","Piscivore","M",26,"Shrimp/Small Fish Eaters","Groundfish","Piscivore","Piscivore","Northeast Multispecies"
156,"BLACKBELLY ROSEFISH",166787,242,"HELICOLENUS DACTYLOPTERUS",NA,"Macrozoo-piscivore","Benthivore Scorpaeniformes","OtherDemersals","Planktivore",NA,NA,NA,"Other","Planktivore","Planktivore",NA
158,"DEEPBODY BOARFISH",166311,NA,"ANTIGONIA CAPROS",NA,"Other","Benthivore Others","OtherDemersals","Other",NA,NA,NA,NA,"Other","Benthivore",NA
159,"HOOKEAR SCULPINS",167201,NA,"ARTEDIELLUS ",NA,"Other","Benthivore Scorpaeniformes","OtherDemersals","Other",NA,NA,NA,NA,"Other","Other",NA
160,"SCULPIN UNCL",167196,326,"COTTIDAE",NA,"Macroplanktivore","Benthivore Scorpaeniformes","OtherDemersals","Planktivore",NA,NA,NA,"Other","Planktivore","Benthivore",NA
161,"MOUSTACHE SCULPIN",167375,NA,"TRIGLOPS MURRAYI",NA,"Other","Benthivore Scorpaeniformes","OtherDemersals","Other",NA,NA,NA,NA,"Other","Benthivore",NA
162,"SHORTHORN SCULPIN",167318,NA,"MYOXOCEPHALUS SCORPIUS",NA,"Other","Benthivore Scorpaeniformes","OtherDemersals","Other",NA,NA,NA,NA,"Other","Other",NA
163,"LONGHORN SCULPIN",167320,326,"MYOXOCEPHALUS OCTODECEMSPINOSUS",NA,"Macroplanktivore","Benthivore Scorpaeniformes","OtherDemersals","Planktivore","S",10,"Amphipod/Shrimp Eaters","Other","Planktivore","Benthivore",NA
163,"LONGHORN SCULPIN",167320,326,"MYOXOCEPHALUS OCTODECEMSPINOSUS",NA,"Macroplanktivore","Benthivore Scorpaeniformes","OtherDemersals","Planktivore","M",26,"Amphipod/Shrimp Eaters","Other","Planktivore","Benthivore",NA
164,"SEA RAVEN",167289,327,"HEMITRIPTERUS AMERICANUS",NA,"Benthivore","Benthivore Scorpaeniformes","OtherDemersals","Piscivore","S",10,"Piscivores","Other","Piscivore","Piscivore",NA
164,"SEA RAVEN",167289,327,"HEMITRIPTERUS AMERICANUS",NA,"Benthivore","Benthivore Scorpaeniformes","OtherDemersals","Piscivore","M",26,"Piscivores","Other","Piscivore","Piscivore",NA
165,"ALLIGATORFISH",167439,NA,"ASPIDOPHOROIDES MONOPTERYGIUS",NA,"Other","Benthivore Scorpaeniformes","OtherDemersals","Other",NA,NA,NA,NA,"Other","Benthivore",NA
166,"GRUBBY",167321,NA,"MYOXOCEPHALUS AENAEUS",NA,"Other","Benthivore Scorpaeniformes","OtherDemersals","Other",NA,NA,NA,NA,"Other","Benthivore",NA
167,"INQUILINE SNAILFISH",167577,NA,"LIPARIS INQUILINUS",NA,"Other","Benthivore Scorpaeniformes","OtherDemersals","Other",NA,NA,NA,NA,"Other","Other",NA
168,"LUMPFISH",167612,210,"CYCLOPTERUS LUMPUS",NA,"Macroplanktivore",NA,"OtherDemersals","Planktivore",NA,NA,NA,"Other","Planktivore","Planktivore",NA
169,"ATLANTIC SPINY LUMPSUCKER",167545,NA,"EUMICROTREMUS SPINOSUS",NA,"Other","Benthivore Scorpaeniformes","OtherDemersals","Other",NA,NA,NA,NA,"Other","Other",NA
170,"ATLANTIC SEASNAIL",167576,NA,"LIPARIS ATLANTICUS",NA,"Other",NA,"Macrobenthos","Other",NA,NA,NA,NA,"Other","Benthivore",NA
171,"NORTHERN SEAROBIN",166974,340,"PRIONOTUS CAROLINUS",NA,"Macroplanktivore","Benthivore Scorpaeniformes","OtherDemersals","Planktivore",NA,NA,NA,"Other","Planktivore","Benthivore",NA
172,"STRIPED SEAROBIN",166975,342,"PRIONOTUS EVOLANS",NA,"Benthivore","Benthivore Scorpaeniformes","OtherDemersals","Benthivore",NA,NA,NA,"Other","Benthivore","Benthivore",NA
173,"ARMORED SEAROBIN",167010,343,"PERISTEDION MINIATUM",NA,"Other","Benthivore Scorpaeniformes","OtherDemersals","Other",NA,NA,NA,"Other","Other","Benthivore",NA
174,"SEAROBIN UNCL",166972,341,"TRIGLIDAE",NA,"Other","Benthivore Scorpaeniformes","OtherDemersals","Other",NA,NA,NA,"Other","Other","Other",NA
175,"FLYING GURNARD",167624,NA,"DACTYLOPTERUS VOLITANS",NA,"Other",NA,"OtherPelagics","Other",NA,NA,NA,NA,"Other","Other",NA
176,"CUNNER",170481,93,"TAUTOGOLABRUS ADSPERSUS",NA,"Benthivore","Benthivore Perciformes","OtherDemersals","Benthivore",NA,NA,NA,"Other","Benthivore","Benthivore",NA
177,"TAUTOG",170479,438,"TAUTOGA ONITIS",NA,"Benthivore","Benthivore Perciformes","OtherDemersals","Benthivore",NA,NA,NA,"Other","Benthivore","Benthivore",NA
179,"NORTHERN STARGAZER",171055,31,"ASTROSCOPUS GUTTATUS",NA,"Other","Benthivore Perciformes","OtherDemersals","Other",NA,NA,NA,"Other","Other","Piscivore",NA
180,"ROCK GUNNEL",171645,514,"PHOLIS GUNNELLUS",NA,"Other",NA,"OtherDemersals","Other",NA,NA,NA,NA,"Other","Other",NA
181,"NORTHERN SAND LANCE",171674,NA,"AMMODYTES DUBIUS",NA,"Other",NA,"OtherDemersals","Planktivore","M",11,"Planktivores",NA,"Planktivore","Planktivore",NA
182,"SNAKEBLENNY",171588,NA,"LUMPENUS LUMPRETAEFORMIS",NA,"Other","Benthivore Perciformes","OtherDemersals","Other",NA,NA,NA,NA,"Other","Benthivore",NA
183,"DAUBED SHANNY",171584,NA,"LUMPENUS MACULATUS",NA,"Other","Benthivore Perciformes","OtherDemersals","Other",NA,NA,NA,NA,"Other","Benthivore",NA
184,"RADIATED SHANNY",171616,NA,"ULVARIA SUBBIFURCATA",NA,"Other","Benthivore Perciformes","OtherDemersals","Other",NA,NA,NA,NA,"Other","Benthivore",NA
185,"OYSTER TOADFISH",164423,451,"OPSANUS TAU",NA,"Other","Benthivore Others","OtherDemersals","Other",NA,NA,NA,"Other","Other","Other",NA
186,"POLKA-DOT CUSK-EEL",164859,NA,"OTOPHIDIUM OMOSTIGMUM",NA,"Other","Benthivore Gadiformes","OtherDemersals","Other",NA,NA,NA,NA,"Other","Other",NA
187,"RED GOATFISH",169417,NA,"MULLUS AURATUS",NA,"Other","Benthivore Perciformes","OtherDemersals","Other",NA,NA,NA,NA,"Other","Benthivore",NA
188,"STRIPED CUSK-EEL",164852,NA,"OPHIDION MARGINATUM",NA,"Other","Benthivore Gadiformes","OtherDemersals","Other",NA,NA,NA,NA,"Other","Benthivore",NA
189,"ARCTIC EELPOUT",165280,NA,"LYCODES RETICULATUS",NA,"Other","Benthivore Perciformes","OtherDemersals","Other",NA,NA,NA,NA,"Other","Other",NA
190,"WOLF EELPOUT",165242,NA,"LYCENCHELYS VERRILLI",NA,"Other","Benthivore Perciformes","OtherDemersals","Other",NA,NA,NA,NA,"Other","Benthivore",NA
191,"WRYMOUTH",171609,NA,"CRYPTACANTHODES MACULATUS",NA,"Other","Benthivore Perciformes","OtherDemersals","Other",NA,NA,NA,NA,"Other","Benthivore",NA
192,"ATLANTIC WOLFFISH",171341,512,"ANARHICHAS LUPUS","NEFMC","Benthivore","Benthivore Perciformes","OtherDemersals","Benthivore",NA,NA,NA,"Other","Benthivore","Benthivore","Northeast Multispecies"
193,"OCEAN POUT",630979,250,"ZOARCES AMERICANUS","NEFMC","Benthivore","Benthivore Perciformes","OceanPout","Benthivore","L",61,"Benthivores","Groundfish","Benthivore","Benthivore","Northeast Multispecies"
194,"FAWN CUSK-EEL",164831,NA,"LEPOPHIDIUM PROFUNDORUM",NA,"Other","Benthivore Gadiformes","OtherDemersals","Other","L",61,"Amphipod/Shrimp Eaters",NA,"Other","Benthivore",NA
195,"SMOOTH PUFFER",173285,431,"LAGOCEPHALUS LAEVIGATUS",NA,"Other",NA,"OtherDemersals","Other",NA,NA,NA,NA,"Other","Other",NA
196,"NORTHERN PUFFER",173290,429,"SPHOEROIDES MACULATUS",NA,"Other",NA,"OtherDemersals","Other",NA,NA,NA,NA,"Other","Benthivore",NA
197,"GOOSEFISH",164499,11,"LOPHIUS AMERICANUS","JOINT","Piscivore","Piscivore Others","Goosefish","Piscivore","L",61,"Piscivores","Groundfish","Piscivore","Piscivore","Monkfish"
197,"GOOSEFISH",164499,12,"LOPHIUS AMERICANUS","JOINT","Piscivore","Piscivore Others","Goosefish","Piscivore","L",61,"Piscivores","Groundfish","Piscivore","Piscivore","Monkfish"
198,"STRIPED BURRFISH",173384,NA,"CHILOMYCTERUS SCHOEPFI",NA,"Other",NA,"OtherDemersals","Other",NA,NA,NA,NA,"Other","Benthivore",NA
199,"ATLANTIC BATFISH",164589,NA,"DIBRANCHUS ATLANTICUS",NA,"Other","Benthivore Others","OtherDemersals","Other",NA,NA,NA,NA,"Other","Other",NA
200,"ATLANTIC GUITARFISH",160815,NA,"RHINOBATOS LENTIGINOSUS",NA,"Other",NA,"OtherDemersals","Other",NA,NA,NA,NA,"Other","Other",NA
201,"PLANEHEAD FILEFISH",173182,NA,"MONACANTHUS HISPIDUS",NA,"Other",NA,"OtherDemersals","Other",NA,NA,NA,NA,"Other","Benthivore",NA
202,"GRAY TRIGGERFISH",173138,456,"BALISTES CAPRISCUS",NA,"Other",NA,"OtherDemersals","Other",NA,NA,NA,NA,"Other","Benthivore",NA
203,"GREATER AMBERJACK",168689,181,"SERIOLA DUMERILI",NA,"Other",NA,"OtherPelagics","Other",NA,NA,NA,NA,"Other","Other",NA
204,"BANDED RUDDERFISH",168693,NA,"SERIOLA ZONATA",NA,"Other",NA,"Freshwater","Other",NA,NA,NA,NA,"Other","Piscivore",NA
205,"ATLANTIC SAURY",165612,319,"SCOMBERESOX SAURUS",NA,"Other",NA,"OtherPelagics","Other",NA,NA,NA,"Forage Fish","Other","Planktivore",NA
206,"LONGNOSE BATFISH",164584,NA,"OGCOCEPHALUS CORNIGER",NA,"Other","Benthivore Others","OtherDemersals","Other",NA,NA,NA,NA,"Other","Other",NA
207,"BARRELFISH",172512,27,"HYPEROGLYPHE PERCIFORMIS",NA,"Other",NA,"OtherDemersals","Other",NA,NA,NA,NA,"Other","Other",NA
208,"MACKEREL SCAD",168724,NA,"DECAPTERUS MACARELLUS",NA,"Other",NA,"SmPelagics","Other",NA,NA,NA,NA,"Other","Planktivore",NA
209,"BIGEYE SCAD",168677,76,"SELAR CRUMENOPHTHALMUS",NA,"Other",NA,"SmPelagics","Other",NA,NA,NA,"Forage Fish","Other","Planktivore",NA
210,"HEADLIGHTFISH",162594,NA,"DIAPHUS DUMERILI",NA,"Other",NA,"Mesopelagics","Other",NA,NA,NA,NA,"Other","Other",NA
211,"ROUND SCAD",168725,77,"DECAPTERUS PUNCTATUS",NA,"Other",NA,"SmPelagics","Other",NA,NA,NA,"Forage Fish","Other","Planktivore",NA
212,"ROUGH SCAD",168587,331,"TRACHURUS LATHAMI",NA,"Other",NA,"SmPelagics","Other",NA,NA,NA,"Forage Fish","Other","Planktivore",NA
213,"SILVER RAG",172537,NA,"ARIOMMA BONDI",NA,"Other",NA,"Mesopelagics","Other",NA,NA,NA,NA,"Other","Planktivore",NA
215,"HOUNDFISH",165577,20,"TYLOSURUS CROCODILUS",NA,"Other",NA,"Mesopelagics","Other",NA,NA,NA,NA,"Other","Other",NA
221,"STRAIGHTMOUTH TONGUEFISHES",173061,NA,"SYMPHURUS ",NA,"Other",NA,"Mesopelagics","Other",NA,NA,NA,NA,"Other","Other",NA
227,"BLACK GEMFISH",172370,NA,"NESIARCHUS NASUTUS",NA,"Other","Benthivore Perciformes","Mesopelagics","Other",NA,NA,NA,NA,"Other","Other",NA
228,"BOA DRAGONFISH",162292,NA,"STOMIAS BOA",NA,"Other",NA,"Mesopelagics","Other",NA,NA,NA,NA,"Other","Other",NA
229,"WEITZMANS PEARLSIDES",622356,NA,"MAUROLICUS WEITZMANI ",NA,"Other",NA,"Mesopelagics","Other",NA,NA,NA,NA,"Other","Planktivore",NA
231,NA,162428,NA,"CHLOROPHTHALMUS ",NA,"Other","Benthivore Others","Mesopelagics","Other",NA,NA,NA,NA,"Other","Other",NA
232,"SHORTNOSE GREENEYE",162430,NA,"CHLOROPHTHALMUS AGASSIZI",NA,"Other","Benthivore Others","Mesopelagics","Other",NA,NA,NA,NA,"Other","Benthivore",NA
233,NA,162184,NA,"GONOSTOMA BATHYPHILUM",NA,"Other","Benthivore Others","Mesopelagics","Other",NA,NA,NA,NA,"Other","Other",NA
234,NA,162183,NA,"GONOSTOMA ATLANTICUM",NA,"Other","Benthivore Others","Mesopelagics","Other",NA,NA,NA,NA,"Other","Other",NA
235,"LONGTOOTH ANGLEMOUTH",162185,NA,"GONOSTOMA ELONGATUM",NA,"Other","Benthivore Others","Mesopelagics","Other",NA,NA,NA,NA,"Other","Other",NA
236,NA,162192,NA,"VINCIGUERRIA ",NA,"Other","Benthivore Others","Mesopelagics","Other",NA,NA,NA,NA,"Other","Other",NA
237,NA,622358,NA,"POLYMETME THAEOCORYLA ",NA,"Other","Benthivore Others","Mesopelagics","Other",NA,NA,NA,NA,"Other","Other",NA
239,"SIMONYS FROSTFISH",172380,NA,"BENTHODESMUS SIMONYI",NA,"Other",NA,"Mesopelagics","Other",NA,NA,NA,NA,"Other","Other",NA
240,"VIPERFISH",162281,NA,"CHAULIODUS SLOANI",NA,"Other",NA,"Mesopelagics","Other",NA,NA,NA,NA,"Other","Other",NA
241,NA,162280,NA,"CHAULIODUS DANAE",NA,"Other","Benthivore Others","Mesopelagics","Other",NA,NA,NA,NA,"Other","Other",NA
242,"LONGNOSE GREENEYE",162435,NA,"PARASUDIS TRUCULENTA",NA,"Other","Benthivore Others","Mesopelagics","Other",NA,NA,NA,NA,"Other","Other",NA
243,"BLUNTNOSE SMOOTHHEAD",162340,NA,"XENODERMICHTHYS COPEI",NA,"Other","Benthivore Others","Mesopelagics","Other",NA,NA,NA,NA,"Other","Other",NA
244,"SLENDER LIGHTFISH",162193,NA,"VINCIGUERRIA ATTENUATA",NA,"Other",NA,"Mesopelagics","Other",NA,NA,NA,NA,"Other","Other",NA
245,NA,162493,NA,"PARALEPIS COREGONOIDES",NA,"Other",NA,"Mesopelagics","Other",NA,NA,NA,NA,"Other","Other",NA
246,"WHITE BARRACUDINA",644687,NA,"ARCTOZENUS RISSO ",NA,"Other",NA,"Mesopelagics","Other",NA,NA,NA,NA,"Other","Other",NA
248,"SCALY DRAGONFISH UNCL",162282,NA,"STOMIIDAE",NA,"Other",NA,"Mesopelagics","Other",NA,NA,NA,NA,"Other","Other",NA
249,"LUMPFISH SNAILFISH UNCL",167483,NA,"CYCLOPTERIDAE",NA,"Other",NA,"Mesopelagics","Other",NA,NA,NA,NA,"Other","Other",NA
250,"SILVER HATCHETFISH",162215,NA,"ARGYROPELECUS ACULEATUS",NA,"Other",NA,"Mesopelagics","Other",NA,NA,NA,NA,"Other","Other",NA
251,"SLOPE HATCHETFISH",622357,NA,"POLYIPNUS CLARUS ",NA,"Other",NA,"Mesopelagics","Other",NA,NA,NA,NA,"Other","Other",NA
252,"HATCHETFISH UNCL",162212,252,"STERNOPTYCHIDAE",NA,"Other",NA,"Mesopelagics","Other",NA,NA,NA,NA,"Other","Other",NA
260,NA,643676,NA,"CAREPROCTUS RANULA ",NA,"Other","Benthivore Scorpaeniformes","Mesopelagics","Other",NA,NA,NA,NA,"Other","Other",NA
261,"BLACKMOUTHED ALFONSIN",166140,NA,"HOPLOSTETHUS MEDITERRANEUS",NA,"Other",NA,"Mesopelagics","Other",NA,NA,NA,NA,"Other","Other",NA
262,"ATLANTIC SOFT POUT",165296,251,"MELANOSTIGMA ATLANTICUM",NA,"Other",NA,"Mesopelagics","Other",NA,NA,NA,NA,"Other","Planktivore",NA
263,"BEARDFISH",166126,22,"POLYMIXIA LOWEI",NA,"Other","Benthivore Others","OtherDemersals","Other",NA,NA,NA,"Other","Other","Benthivore",NA
264,"STOUT BEARDFISH",166127,NA,"POLYMIXIA NOBILIS",NA,"Other","Benthivore Others","OtherDemersals","Other",NA,NA,NA,NA,"Other","Other",NA
265,"OCEAN SUNFISH",173414,NA,"MOLA MOLA",NA,"Other",NA,"OtherPelagics","Other",NA,NA,NA,NA,"Other","Other",NA
266,NA,166141,NA,"HOPLOSTETHUS OCCIDENTALIS",NA,"Other","Benthivore Others","OtherDemersals","Other",NA,NA,NA,NA,"Other","Other",NA
267,"EELPOUT UNCL",165215,NA,"ZOARCIDAE",NA,"Other",NA,"OtherDemersals","Other",NA,NA,NA,NA,"Other","Other",NA
268,"BIG ROUGHY",166137,NA,"GEPHYROBERYX DARWINI",NA,"Other","Benthivore Others","SouthernDemersals","Other",NA,NA,NA,NA,"Other","Other",NA
270,"COWNOSE RAY",160985,285,"RHINOPTERA BONASUS",NA,"Other","Benthivore Elasmobranchs","Rays","Other",NA,NA,NA,"Sharks/Rays","Other","Benthivore",NA
271,"SPOTTED EAGLE RAY",160978,NA,"AETOBATUS NARINARI  ",NA,"Other",NA,"Rays","Other",NA,NA,NA,NA,"Other","Other",NA
272,"MANTA",160992,672,"MANTA BIROSTRIS",NA,"Other",NA,"Rays","Other",NA,NA,NA,NA,"Other","Other",NA
274,"MEXICAN SEAROBIN",166987,NA,"PRIONOTUS PARALATUS",NA,"Other","Benthivore Scorpaeniformes","SouthernDemersals","Other",NA,NA,NA,NA,"Other","Other",NA
280,"WESTERN SOFTHEAD GRENADIER",165390,NA,"MALACOCEPHALUS OCCIDENTALIS",NA,"Other","Benthivore Gadiformes","Mesopelagics","Other",NA,NA,NA,NA,"Other","Other",NA
281,NA,162205,NA,"YARELLA BLACKFORDI",NA,"Other",NA,"Mesopelagics","Other",NA,NA,NA,NA,"Other","Other",NA
285,"PUNCTATE BLADE SHRIMP",96761,NA,"SPIRONTOCARIS PHIPPSII",NA,"Other",NA,"OtherShrimps","Other",NA,NA,NA,NA,"Other","Other",NA
286,"PARROT SHRIMP",96775,NA,"SPIRONTOCARIS SPINUS",NA,"Other",NA,"OtherShrimps","Other",NA,NA,NA,NA,"Other","Other",NA
287,"SEVENSPINE BAY SHRIMP",97110,NA,"CRANGON SEPTEMSPINOSA",NA,"Other",NA,"OtherShrimps","Other",NA,NA,NA,NA,"Other","Planktivore",NA
291,"ARCTIC EUALID",96805,NA,"EUALUS FABRICII",NA,"Other",NA,"OtherShrimps","Other",NA,NA,NA,NA,"Other","Other",NA
292,"PINK GLASS SHRIMP",96166,NA,"PASIPHAEA MULTIDENTATA",NA,"Other",NA,"OtherShrimps","Other",NA,NA,NA,NA,"Other","Planktivore",NA
293,"SPINY LEBBEID",96787,NA,"LEBBEUS GROENLANDICUS",NA,"Other",NA,"OtherShrimps","Other",NA,NA,NA,NA,"Other","Other",NA
294,"POLAR LEBBEID",96792,NA,"LEBBEUS POLARIS",NA,"Other",NA,"OtherShrimps","Other",NA,NA,NA,NA,"Other","Planktivore",NA
295,"FRIENDLY BLADE SHRIMP",96765,NA,"SPIRONTOCARIS LILJEBORGII",NA,"Other",NA,"OtherShrimps","Other",NA,NA,NA,NA,"Other","Planktivore",NA
296,"BRISTLED LONGBEAK",97000,NA,"DICHELOPANDALUS LEPTOCERUS",NA,"Other",NA,"OtherShrimps","Other",NA,NA,NA,NA,"Other","Planktivore",NA
297,"AESOP SHRIMP",96971,NA,"PANDALUS MONTAGUI",NA,"Other",NA,"OtherShrimps","Other",NA,NA,NA,NA,"Other","Planktivore",NA
298,NA,96986,NA,"PANDALUS PROPINQUUS",NA,"Other",NA,"OtherShrimps","Other",NA,NA,NA,NA,"Other","Planktivore",NA
299,"NORWEGIAN SHRIMP",97184,NA,"PONTOPHILUS NORVEGICUS",NA,"Other",NA,"OtherShrimps","Other",NA,NA,NA,NA,"Other","Planktivore",NA
301,"AMERICAN LOBSTER",97314,727,"HOMARUS AMERICANUS",NA,"Benthivore",NA,"AmLobster","Benthivore",NA,NA,NA,"BenthicInvert","Benthivore","Benthivore",NA
302,"RIDGED SLIPPER LOBSTER",97673,NA,"SCYLLARIDES NODIFER",NA,"Other",NA,"Megabenthos","Other",NA,NA,NA,NA,"Other","Other",NA
303,"SPANISH SLIPPER LOBSTER",97676,NA,"SCYLLARIDES AEQUINOCTIALIS",NA,"Other",NA,"Megabenthos","Other",NA,NA,NA,NA,"Other","Other",NA
304,"CARIBBEAN SPINY LOBSTER",97648,728,"PANULIRUS ARGUS",NA,"Other",NA,"Megabenthos","Other",NA,NA,NA,"BenthicInvert","Other","Other",NA
305,"SHRIMP UNCL",NA,NA,"CRUSTACEA SHRIMP",NA,"Other",NA,"OtherShrimps","Other",NA,NA,NA,NA,"Other","Other",NA
306,"NORTHERN SHRIMP",96967,736,"PANDALUS BOREALIS",NA,"Other",NA,"NShrimp","Other",NA,NA,NA,"BenthicInvert","Other","Planktivore",NA
307,"SHRIMP (PINK -BROWN - WHITE)",95603,NA,"PENAEUS ",NA,"Other",NA,"OtherShrimps","Other",NA,NA,NA,NA,"Other","Other",NA
308,"GOLDEN DEEPSEA CRAB",98909,NA,"GERYON FENNERI",NA,"Other",NA,"Megabenthos","Other",NA,NA,NA,NA,"Other","Other",NA
309,"WHITE CRAB",98908,NA,"GERYON AFFINIS",NA,"Other",NA,"Megabenthos","Other",NA,NA,NA,NA,"Other","Other",NA
310,"CRAB,RED DEEPSEA",620992,710,"CHACEON QUINQUEDENS","NEFMC","Benthivore",NA,"RedCrab","Benthivore",NA,NA,NA,"BenthicInvert","Benthivore","Benthivore","Red crab"
