"Time","Var","Value","EPU","Units"
1994,"duration-BottomDetrended",98,"GB","N days"
1994,"duration-BottomDetrended",70,"GOM","N days"
1995,"duration-BottomDetrended",36,"GB","N days"
1999,"duration-BottomDetrended",108,"GB","N days"
1999,"duration-BottomDetrended",114,"MAB","N days"
2000,"duration-BottomDetrended",56,"GB","N days"
2009,"duration-BottomDetrended",31,"GB","N days"
2012,"duration-BottomDetrended",121,"GB","N days"
2012,"duration-BottomDetrended",198,"MAB","N days"
2013,"duration-BottomDetrended",93,"GOM","N days"
2014,"duration-BottomDetrended",69,"GB","N days"
2014,"duration-BottomDetrended",106,"MAB","N days"
2015,"duration-BottomDetrended",83,"GB","N days"
2015,"duration-BottomDetrended",89,"MAB","N days"
2016,"duration-BottomDetrended",49,"GB","N days"
2016,"duration-BottomDetrended",90,"GOM","N days"
2019,"duration-BottomDetrended",61,"MAB","N days"
2020,"duration-BottomDetrended",187,"GOM","N days"
2021,"duration-BottomDetrended",31,"GB","N days"
2021,"duration-BottomDetrended",202,"GOM","N days"
2022,"duration-BottomDetrended",57,"GOM","N days"
2023,"duration-BottomDetrended",232,"GOM","N days"
1993,"cumulative intensity-SurfaceDetrended",0,"GB",NA
1996,"cumulative intensity-SurfaceDetrended",0,"GB",NA
2008,"cumulative intensity-SurfaceDetrended",0,"GB",NA
2014,"cumulative intensity-SurfaceDetrended",0,"GB",NA
2019,"cumulative intensity-SurfaceDetrended",0,"GB",NA
2024,"cumulative intensity-SurfaceDetrended",0,"GB",NA
1993,"maximum intensity-SurfaceDetrended",0,"GB",NA
1996,"maximum intensity-SurfaceDetrended",0,"GB",NA
2008,"maximum intensity-SurfaceDetrended",0,"GB",NA
2014,"maximum intensity-SurfaceDetrended",0,"GB",NA
2019,"maximum intensity-SurfaceDetrended",0,"GB",NA
2024,"maximum intensity-SurfaceDetrended",0,"GB",NA
1993,"duration-SurfaceDetrended",0,"GB",NA
1996,"duration-SurfaceDetrended",0,"GB",NA
2008,"duration-SurfaceDetrended",0,"GB",NA
2014,"duration-SurfaceDetrended",0,"GB",NA
2019,"duration-SurfaceDetrended",0,"GB",NA
2024,"duration-SurfaceDetrended",0,"GB",NA
1982,"cumulative intensity-BottomDetrended",0,"GB",NA
1983,"cumulative intensity-BottomDetrended",0,"GB",NA
1984,"cumulative intensity-BottomDetrended",0,"GB",NA
1985,"cumulative intensity-BottomDetrended",0,"GB",NA
1987,"cumulative intensity-BottomDetrended",0,"GB",NA
1988,"cumulative intensity-BottomDetrended",0,"GB",NA
1989,"cumulative intensity-BottomDetrended",0,"GB",NA
1990,"cumulative intensity-BottomDetrended",0,"GB",NA
1993,"cumulative intensity-BottomDetrended",0,"GB",NA
1996,"cumulative intensity-BottomDetrended",0,"GB",NA
2001,"cumulative intensity-BottomDetrended",0,"GB",NA
2002,"cumulative intensity-BottomDetrended",0,"GB",NA
2005,"cumulative intensity-BottomDetrended",0,"GB",NA
2006,"cumulative intensity-BottomDetrended",0,"GB",NA
2007,"cumulative intensity-BottomDetrended",0,"GB",NA
2008,"cumulative intensity-BottomDetrended",0,"GB",NA
2010,"cumulative intensity-BottomDetrended",0,"GB",NA
2011,"cumulative intensity-BottomDetrended",0,"GB",NA
2013,"cumulative intensity-BottomDetrended",0,"GB",NA
2017,"cumulative intensity-BottomDetrended",0,"GB",NA
2018,"cumulative intensity-BottomDetrended",0,"GB",NA
2019,"cumulative intensity-BottomDetrended",0,"GB",NA
2020,"cumulative intensity-BottomDetrended",0,"GB",NA
2022,"cumulative intensity-BottomDetrended",0,"GB",NA
2023,"cumulative intensity-BottomDetrended",0,"GB",NA
2024,"cumulative intensity-BottomDetrended",0,"GB",NA
1982,"maximum intensity-BottomDetrended",0,"GB",NA
1983,"maximum intensity-BottomDetrended",0,"GB",NA
1984,"maximum intensity-BottomDetrended",0,"GB",NA
