"Latitude","Longitude","Value","EPU"
42.625,-61.875,0.632450383642445,"MAB"
42.625,-61.625,0.438140620356021,"MAB"
42.625,-61.375,0.420566786890445,"MAB"
42.625,-61.125,0.552020072937012,"MAB"
42.625,-60.875,0.869110812311587,"MAB"
42.625,-60.625,1.16270176224087,"MAB"
42.625,-60.375,1.27745067554971,"MAB"
42.625,-60.125,1.26518434026967,"MAB"
42.375,-70.875,5.4725792200669,"MAB"
42.375,-70.625,5.46269581628882,"MAB"
42.375,-70.375,5.29665965619295,"MAB"
42.375,-70.125,5.00619113963583,"MAB"
42.375,-69.875,4.72938190335813,"MAB"
42.375,-69.625,4.54468142467996,"MAB"
42.375,-69.375,4.41908108669779,"MAB"
42.375,-69.125,4.29620282546334,"MAB"
42.375,-68.875,4.16637880905815,"MAB"
42.375,-68.625,4.07911524565324,"MAB"
42.375,-68.375,4.02940316822218,"MAB"
42.375,-68.125,3.94314379277437,"MAB"
42.375,-67.875,3.74886398730071,"MAB"
42.375,-67.625,3.45717307795649,"MAB"
42.375,-67.375,3.23734973824542,"MAB"
42.375,-67.125,3.10956960139067,"MAB"
42.375,-66.875,3.06234972373299,"MAB"
42.375,-66.625,2.99216329533121,"MAB"
42.375,-66.375,2.76694518586864,"MAB"
42.375,-66.125,2.4436136432316,"MAB"
42.375,-65.875,2.07461294920548,"MAB"
42.375,-65.625,1.68997309518897,"MAB"
42.375,-65.375,1.40378270978513,"MAB"
42.375,-65.125,1.24959924946661,"MAB"
42.375,-64.875,1.16781461757162,"MAB"
42.375,-64.625,1.22442622806715,"MAB"
42.375,-64.375,1.37587660291921,"MAB"
42.375,-64.125,1.54661542436351,"MAB"
42.375,-63.875,1.60839177214581,"MAB"
42.375,-63.625,1.75515665178714,"MAB"
42.375,-63.375,1.91533736560656,"MAB"
42.375,-63.125,2.04387528999992,"MAB"
42.375,-62.875,2.13751424913821,"MAB"
42.375,-62.625,2.17045734239661,"MAB"
42.375,-62.375,1.97717372230861,"MAB"
42.375,-62.125,1.68101595795673,"MAB"
42.375,-61.875,1.25655122425245,"MAB"
42.375,-61.625,0.823703942091569,"MAB"
42.375,-61.375,0.710453510284424,"MAB"
42.375,-61.125,0.806297157121741,"MAB"
42.375,-60.875,1.11353010716646,"MAB"
42.375,-60.625,1.35499671231145,"MAB"
42.375,-60.375,1.37890987810881,"MAB"
42.375,-60.125,1.26949395304141,"MAB"
42.125,-70.625,5.23735415417215,"MAB"
42.125,-70.375,5.19607220525327,"MAB"
42.125,-70.125,4.86583558372829,"MAB"
42.125,-69.875,4.48840730086617,"MAB"
42.125,-69.625,4.21736424902211,"MAB"
42.125,-69.375,4.0370959924615,"MAB"
42.125,-69.125,3.87194201220637,"MAB"
42.125,-68.875,3.70855749171713,"MAB"
42.125,-68.625,3.72823522401893,"MAB"
42.125,-68.375,3.90060662186664,"MAB"
42.125,-68.125,3.98187424825585,"MAB"
42.125,-67.875,3.83613479655722,"MAB"
42.125,-67.625,3.48370969813803,"MAB"
42.125,-67.375,3.13574220823205,"MAB"
42.125,-67.125,2.89914594525876,"MAB"
42.125,-66.875,2.80990551865619,"MAB"
42.125,-66.625,2.74693774140399,"MAB"
42.125,-66.375,2.57344133957573,"MAB"
42.125,-66.125,2.23991343249445,"MAB"
42.125,-65.875,1.81680258460667,"MAB"
42.125,-65.625,1.37640154880026,"MAB"
42.125,-65.375,1.03610618218132,"MAB"
42.125,-65.125,0.918860601342243,"MAB"
42.125,-64.875,0.921353920646336,"MAB"
42.125,-64.625,1.03423540488533,"MAB"
42.125,-64.375,1.18365733519844,"MAB"
42.125,-64.125,1.29013138232024,"MAB"
42.125,-63.875,1.33599038746046,"MAB"
42.125,-63.625,1.53450545020725,"MAB"
42.125,-63.375,1.91323767537656,"MAB"
42.125,-63.125,2.39126724782197,"MAB"
42.125,-62.875,2.90339252223139,"MAB"
42.125,-62.625,3.16005298365717,"MAB"
42.125,-62.375,3.0188786154208,"MAB"
42.125,-62.125,2.56248557049295,"MAB"
42.125,-61.875,1.82105609645014,"MAB"
42.125,-61.625,1.07856064257414,"MAB"
42.125,-61.375,0.769553246705428,"MAB"
42.125,-61.125,0.873984564905581,"MAB"
42.125,-60.875,1.11376289699389,"MAB"
42.125,-60.625,1.13902164542157,"MAB"
42.125,-60.375,0.939400983893353,"MAB"
42.125,-60.125,0.74802131238191,"MAB"
41.875,-70.375,5.35250319605288,"MAB"
41.875,-70.125,4.95377089666284,"MAB"
41.875,-69.875,4.40783044566279,"MAB"
41.875,-69.625,3.91977064505867,"MAB"
41.875,-69.375,3.47963689721149,"MAB"
41.875,-69.125,3.30818936099177,"MAB"
41.875,-68.875,3.21096694987753,"MAB"
41.875,-68.625,3.18826771819073,"MAB"
41.875,-68.375,3.27213609736899,"MAB"
41.875,-68.125,3.23027317420296,"MAB"
41.875,-67.875,2.89484175391819,"MAB"
41.875,-67.625,2.5037407045779,"MAB"
41.875,-67.375,2.23116660118103,"MAB"
41.875,-67.125,2.1060906285825,"MAB"
41.875,-66.875,2.13037480478701,"MAB"
41.875,-66.625,2.15165307210839,"MAB"
41.875,-66.375,2.04836885825447,"MAB"
41.875,-66.125,1.76273628939753,"MAB"
41.875,-65.875,1.3850981567217,"MAB"
41.875,-65.625,0.926745684250541,"MAB"
41.875,-65.375,0.507888835409413,"MAB"
41.875,-65.125,0.310741777005403,"MAB"
41.875,-64.875,0.313976287841797,"MAB"
41.875,-64.625,0.568212457325148,"MAB"
41.875,-64.375,0.882589651190716,"MAB"
41.875,-64.125,1.11800497511159,"MAB"
41.875,-63.875,1.30410124944604,"MAB"
41.875,-63.625,1.64900685393292,"MAB"
41.875,-63.375,2.21744009722834,"MAB"
41.875,-63.125,2.89107181714929,"MAB"
41.875,-62.875,3.53569238082222,"MAB"
41.875,-62.625,3.90785177894261,"MAB"
41.875,-62.375,3.6617986222972,"MAB"
41.875,-62.125,3.11903211344843,"MAB"
41.875,-61.875,2.19095586693805,"MAB"
