"Time","EPU","Depth","Var","Value","Source","temp.threshold","Units"
1993,"GB","AllDepths",">16.5°C",0.0199375612620411,"GLORYS",16.5,"Proportion"
1993,"GB","AllDepths",">16°C",0.0240066134278577,"GLORYS",16,"Proportion"
1993,"GB","AllDepths",">17.5°C",0.0140015431540224,"GLORYS",17.5,"Proportion"
1993,"GB","AllDepths",">17°C",0.0166219831719816,"GLORYS",17,"Proportion"
1993,"GB","AllDepths",">18.5°C",0.00977955574550606,"GLORYS",18.5,"Proportion"
1993,"GB","AllDepths",">18°C",0.0116460622444528,"GLORYS",18,"Proportion"
1993,"GB","AllDepths",">19.5°C",0.00712382893141569,"GLORYS",19.5,"Proportion"
1993,"GB","AllDepths",">19°C",0.00841086769403111,"GLORYS",19,"Proportion"
1993,"GB","AllDepths",">1°C",0.999988409410091,"GLORYS",1,"Proportion"
1993,"GB","AllDepths",">2.5°C",0.998593976009635,"GLORYS",2.5,"Proportion"
1993,"GB","AllDepths",">20.5°C",0.00471930005532566,"GLORYS",20.5,"Proportion"
1993,"GB","AllDepths",">20°C",0.00603422679213803,"GLORYS",20,"Proportion"
1993,"GB","AllDepths",">21.5°C",0.00180598357901429,"GLORYS",21.5,"Proportion"
1993,"GB","AllDepths",">21°C",0.00331848459223855,"GLORYS",21,"Proportion"
1993,"GB","AllDepths",">22.5°C",0.0002710705398484,"GLORYS",22.5,"Proportion"
1993,"GB","AllDepths",">22°C",0.00092015609396106,"GLORYS",22,"Proportion"
1993,"GB","AllDepths",">23.5°C",0,"GLORYS",23.5,"Proportion"
1993,"GB","AllDepths",">23°C",4.90042520250617e-05,"GLORYS",23,"Proportion"
1993,"GB","AllDepths",">24.5°C",0,"GLORYS",24.5,"Proportion"
1993,"GB","AllDepths",">24°C",0,"GLORYS",24,"Proportion"
1993,"GB","AllDepths",">25.5°C",0,"GLORYS",25.5,"Proportion"
1993,"GB","AllDepths",">25°C",0,"GLORYS",25,"Proportion"
1993,"GB","AllDepths",">26.5°C",0,"GLORYS",26.5,"Proportion"
