"","Time","EPU","Var","Value"
"396",2014,"MAB","sumlen",181
"397",2015,"GB","falltrans",339
"398",2015,"GB","maxday",233
"399",2015,"GB","sprtrans",148
"400",2015,"GB","sumlen",191
"401",2015,"GOM","falltrans",333
"402",2015,"GOM","maxday",241
"403",2015,"GOM","sprtrans",147
"404",2015,"GOM","sumlen",186
"405",2015,"MAB","falltrans",335
"406",2015,"MAB","maxday",232
"407",2015,"MAB","sprtrans",130
"408",2015,"MAB","sumlen",205
"409",2016,"GB","falltrans",338
"410",2016,"GB","maxday",253
"411",2016,"GB","sprtrans",149
"412",2016,"GB","sumlen",189
"413",2016,"GOM","falltrans",339
"414",2016,"GOM","maxday",228
"415",2016,"GOM","sprtrans",145
"416",2016,"GOM","sumlen",194
"417",2016,"MAB","falltrans",325
"418",2016,"MAB","maxday",228
"419",2016,"MAB","sprtrans",148
"420",2016,"MAB","sumlen",177
"421",2017,"GB","falltrans",340
"422",2017,"GB","maxday",216
"423",2017,"GB","sprtrans",165
"424",2017,"GB","sumlen",175
"425",2017,"GOM","falltrans",330
"426",2017,"GOM","maxday",202
"427",2017,"GOM","sprtrans",160
"428",2017,"GOM","sumlen",170
"429",2017,"MAB","falltrans",326
"430",2017,"MAB","maxday",202
"431",2017,"MAB","sprtrans",150
"432",2017,"MAB","sumlen",176
"433",2018,"GB","falltrans",329
"434",2018,"GB","maxday",228
"435",2018,"GB","sprtrans",151
"436",2018,"GB","sumlen",178
"437",2018,"GOM","falltrans",321
"438",2018,"GOM","maxday",221
"439",2018,"GOM","sprtrans",144
"440",2018,"GOM","sumlen",177
"441",2018,"MAB","falltrans",319
"442",2018,"MAB","maxday",222
"443",2018,"MAB","sprtrans",143
"444",2018,"MAB","sumlen",176
"445",2019,"GB","falltrans",334
"446",2019,"GB","maxday",233
"447",2019,"GB","sprtrans",160
"448",2019,"GB","sumlen",174
"449",2019,"GOM","falltrans",324
"450",2019,"GOM","maxday",233
"451",2019,"GOM","sprtrans",155
"452",2019,"GOM","sumlen",169
"453",2019,"MAB","falltrans",323
"454",2019,"MAB","maxday",232
"455",2019,"MAB","sprtrans",142
"456",2019,"MAB","sumlen",181
"457",2020,"GB","falltrans",345
"458",2020,"GB","maxday",227
"459",2020,"GB","sprtrans",161
"460",2020,"GB","sumlen",184
"461",2020,"GOM","falltrans",337
"462",2020,"GOM","maxday",227
"463",2020,"GOM","sprtrans",149
"464",2020,"GOM","sumlen",188
"465",2020,"MAB","falltrans",336
"466",2020,"MAB","maxday",211
"467",2020,"MAB","sprtrans",152
"468",2020,"MAB","sumlen",184
"469",2021,"GB","falltrans",337
"470",2021,"GB","maxday",234
"471",2021,"GB","sprtrans",148
"472",2021,"GB","sumlen",189
"473",2021,"GOM","falltrans",335
"474",2021,"GOM","maxday",226
"475",2021,"GOM","sprtrans",136
"476",2021,"GOM","sumlen",199
"477",2021,"MAB","falltrans",327
"478",2021,"MAB","maxday",240
"479",2021,"MAB","sprtrans",138
"480",2021,"MAB","sumlen",189
"481",2022,"GB","falltrans",354
"482",2022,"GB","maxday",219
"483",2022,"GB","sprtrans",146
"484",2022,"GB","sumlen",208
"485",2022,"GOM","falltrans",332
"486",2022,"GOM","maxday",219
"487",2022,"GOM","sprtrans",146
"488",2022,"GOM","sumlen",186
"489",2022,"MAB","falltrans",328
"490",2022,"MAB","maxday",242
"491",2022,"MAB","sprtrans",148
"492",2022,"MAB","sumlen",180
"493",2023,"GB","falltrans",327
"494",2023,"GB","maxday",208
"495",2023,"GB","sprtrans",151
"496",2023,"GB","sumlen",176
"497",2023,"GOM","falltrans",325
"498",2023,"GOM","maxday",208
"499",2023,"GOM","sprtrans",147
"500",2023,"GOM","sumlen",178
"501",2023,"MAB","falltrans",316
"502",2023,"MAB","maxday",207
"503",2023,"MAB","sprtrans",138
"504",2023,"MAB","sumlen",178
"505",2024,"GB","falltrans",322
"506",2024,"GB","maxday",NA
"507",2024,"GB","sprtrans",151
"508",2024,"GB","sumlen",171
"509",2024,"GOM","falltrans",322
"510",2024,"GOM","maxday",NA
"511",2024,"GOM","sprtrans",144
"512",2024,"GOM","sumlen",178
"513",2024,"MAB","falltrans",325
"514",2024,"MAB","maxday",NA
"515",2024,"MAB","sprtrans",147
"516",2024,"MAB","sumlen",178
