COMNAME,SVSPP,ITISSPP,NESPP3,SCINAME,Fed_Managed,SOE_17,EMAX,RPATH,SOE_18,SizeCat,Min_size,Garrison_Link,NEIEA
ATLANTIC ROCK CRAB,313,98679,712,CANCER IRRORATUS,NA,Other,NA,Megabenthos,Other,NA,NA,NA,BenthicInvert
ATLANTIC SALMON,894,161996,305,SALMO SALAR,NEFMC,Other,NA,OtherPelagics,Other,NA,NA,NA,NA
ATLANTIC SAURY,205,165612,319,SCOMBERESOX SAURUS,NA,Other,NA,OtherPelagics,Other,NA,NA,NA,Forage Fish
ATLANTIC SEASNAIL,170,167576,NA,LIPARIS ATLANTICUS,NA,Other,NA,Macrobenthos,Other,NA,NA,NA,NA
ATLANTIC SHARPNOSE SHARK,360,160200,494,RHIZOPRIONODON TERRAENOVAE,NA,Other,NA,Sharks,Other,L,61,Piscivores,NA
ATLANTIC SILVERSIDE,113,165994,362,MENIDIA MENIDIA,NA,Other,NA,SmPelagics,Other,NA,NA,NA,Forage Fish
ATLANTIC SOFT POUT,262,165296,251,MELANOSTIGMA ATLANTICUM,NA,Other,NA,Mesopelagics,Other,NA,NA,NA,NA
ATLANTIC SPADEFISH,659,169539,381,CHAETODIPTERUS FABER,NA,Other,Southern Perciformes,SouthernDemersals,Other,NA,NA,NA,NA
ATLANTIC SPINY LUMPSUCKER,169,167545,NA,EUMICROTREMUS SPINOSUS,NA,Other,Benthivore Scorpaeniformes,OtherDemersals,Other,NA,NA,NA,NA
ATLANTIC STINGRAY,373,160953,286,DASYATIS SABINA,NA,Other,Southern Elasmobranchs,Rays,Other,NA,NA,NA,NA
ATLANTIC STURGEON,380,573257,NA,ACIPENSER OXYRHYNCHUS,NA,Other,NA,Sturgeon,Other,NA,NA,NA,NA
ATLANTIC SURFCLAM,403,80944,769,SPISULA SOLIDISSIMA,MAFMC,Benthos,NA,Clams,Benthos,NA,NA,NA,BenthicInvert
ATLANTIC SURFCLAM CLAPPER,406,NA,NA,SPISULA SOLIDISSIMA CLAPPER,NA,Other,NA,Megabenthos,Other,NA,NA,NA,NA
ATLANTIC THORNYHEAD,885,166859,NA,TRACHYSCORPIA CRISTULATA,NA,Other,Southern Others,Mesopelagics,Other,NA,NA,NA,NA
ATLANTIC THREAD HERRING,428,161748,174,OPISTHONEMA OGLINUM,NA,Other,NA,OtherPelagics,Other,NA,NA,NA,Forage Fish
ATLANTIC TOMCOD,453,164720,453,MICROGADUS TOMCOD,NA,Other,NA,OtherDemersals,Other,NA,NA,NA,NA
ATLANTIC TORPEDO,21,160834,526,TORPEDO NOBILIANA,NA,Other,Benthivore Elasmobranchs,Freshwater,Other,NA,NA,NA,Sharks/Rays
ATLANTIC WOLFFISH,192,171341,512,ANARHICHAS LUPUS,NA,Benthivore,Benthivore Perciformes,OtherDemersals,Benthivore,NA,NA,NA,Other
BALLOONFISH,849,173392,NA,DIODON HOLOCANTHUS,NA,Other,Southern Others,SouthernDemersals,Other,NA,NA,NA,NA
BALLYHOO,468,165460,NA,HEMIRAMPHUS BRASILIENSIS,NA,Other,NA,OtherPelagics,Other,NA,NA,NA,NA
BANDED BUTTERFLYFISH,664,169563,NA,CHAETODON STRIATUS,NA,Other,Southern Perciformes,SouthernDemersals,Other,NA,NA,NA,NA
