Species,EPU,sex,YEAR,MeanCond,nCond,n
Ocean Pout,GOM,M,2011,101.25916749875284,14,21
Ocean Pout,GOM,M,2012,97.62498184822913,17,21
Ocean Pout,GOM,M,2013,98.15557464358037,11,21
Ocean Pout,GOM,M,2014,99.27018703722129,9,21
Ocean Pout,GOM,M,2015,98.03408911247729,22,21
Ocean Pout,GOM,M,2016,106.05922767094776,5,21
Ocean Pout,GOM,M,2018,99.88330699884501,11,21
Pollock,GOM,F,1992,103.76497738359784,25,27
Pollock,GOM,F,1993,100.69712583279262,18,27
Pollock,GOM,F,1994,97.40871301843535,8,27
Pollock,GOM,F,1995,98.76670347821545,9,27
Pollock,GOM,F,1996,101.30571180769475,21,27
Pollock,GOM,F,1997,101.64678938929896,30,27
Pollock,GOM,F,1998,100.53769937378114,14,27
Pollock,GOM,F,1999,100.98021851631962,50,27
Pollock,GOM,F,2000,99.44577139754644,25,27
Pollock,GOM,F,2001,98.8069774113802,65,27
Pollock,GOM,F,2002,97.1774985807909,21,27
Pollock,GOM,F,2003,95.81374859668901,28,27
Pollock,GOM,F,2004,95.09913846061352,27,27
Pollock,GOM,F,2005,95.26718118675412,52,27
Pollock,GOM,F,2006,99.0065286907542,40,27
Pollock,GOM,F,2007,101.86094905643533,11,27
Pollock,GOM,F,2008,103.56390049303246,24,27
Pollock,GOM,F,2009,99.22551740653964,17,27
Pollock,GOM,F,2010,99.39460534944129,43,27
Pollock,GOM,F,2011,99.67823036463027,50,27
Pollock,GOM,F,2012,98.79344948515633,31,27
Pollock,GOM,F,2013,97.46189131428532,15,27
